model,L,agg,q_thr,thr,AUC,P,R,F1,pred_pos_rate
LogReg,1,max,0.8,0.5,0.5,0.5049382716049383,1.0,0.6710418375717802,1.0
NaiveBayes,1,max,0.8,0.4884488448844893,0.5346383430177613,0.5612244897959183,0.26894865525672373,0.36363636363636365,0.2419753086419753
SVM(Linear),1,max,0.8,-2.691635371551419e-12,0.5512075556829198,0.5364238410596026,0.1980440097799511,0.2892857142857143,0.18641975308641975
LogReg,2,max,0.8,0.5,0.5,0.5049382716049383,1.0,0.6710418375717802,1.0
NaiveBayes,2,max,0.8,0.4884730352782144,0.549573499015298,0.4520547945205479,0.08068459657701711,0.13692946058091288,0.09012345679012346
SVM(Linear),2,max,0.8,7.598787660934807e-05,0.557243809790926,0.25,0.03178484107579462,0.05639913232104121,0.06419753086419754
LogReg,3,max,0.8,0.5,0.5,0.5049382716049383,1.0,0.6710418375717802,1.0
NaiveBayes,3,max,0.8,0.48934804514928054,0.5657616350322239,0.5492227979274611,0.2591687041564792,0.3521594684385382,0.2382716049382716
SVM(Linear),3,max,0.8,0.00041743396278778693,0.545933454871379,0.56875,0.22249388753056235,0.31985940246045697,0.19753086419753085
LogReg,4,max,0.8,0.5,0.5,0.5049382716049383,1.0,0.6710418375717802,1.0
NaiveBayes,4,max,0.8,0.4885773350220502,0.5561889896286178,0.5229357798165137,0.1393643031784841,0.22007722007722008,0.1345679012345679
SVM(Linear),4,max,0.8,0.0013696212652413273,0.3567609094622856,0.0,0.0,0.0,0.03333333333333333
LogReg,5,max,0.8,0.5,0.5,0.5049382716049383,1.0,0.6710418375717802,1.0
NaiveBayes,5,max,0.8,0.49004142610660373,0.5151973367315208,0.5,0.1295843520782396,0.2058252427184466,0.1308641975308642
SVM(Linear),5,max,0.8,0.007332481472741925,0.42569005359461976,0.07142857142857142,0.007334963325183374,0.013303769401330377,0.05185185185185185
LogReg,6,max,0.8,0.5,0.5,0.5049382716049383,1.0,0.6710418375717802,1.0
NaiveBayes,6,max,0.8,0.4926655461953283,0.5412995628288692,0.5546875,0.17359413202933985,0.2644320297951583,0.1580246913580247
SVM(Linear),6,max,0.8,0.002492565871432231,0.45115816814930887,0.0625,0.004889975550122249,0.009070294784580499,0.03950617283950617
LogReg,7,max,0.8,0.5003250322325877,0.5357145034723705,0.5381526104417671,0.3276283618581907,0.4072948328267477,0.3074074074074074
NaiveBayes,7,max,0.8,0.4965391504475826,0.53298904328421,0.575,0.22493887530562348,0.3233743409490334,0.19753086419753085
SVM(Linear),7,max,0.8,0.007521863625319627,0.4089531672042388,0.05714285714285714,0.004889975550122249,0.009009009009009009,0.043209876543209874
LogReg,8,max,0.8,0.5004203337056187,0.5579206019181875,0.5454545454545454,0.32273838630806845,0.4055299539170507,0.29876543209876544
NaiveBayes,8,max,0.8,0.5022875456391431,0.5483845398728118,0.5782312925170068,0.2078239608801956,0.3057553956834532,0.1814814814814815
SVM(Linear),8,max,0.8,0.0034922807131683017,0.4197513551085611,0.05555555555555555,0.004889975550122249,0.008988764044943821,0.044444444444444446
LogReg,9,max,0.8,0.502377471481812,0.5676456779810864,0.02857142857142857,0.0024449877750611247,0.0045045045045045045,0.043209876543209874
NaiveBayes,9,max,0.8,0.5048736324323473,0.5219103829667884,0.5506329113924051,0.21271393643031786,0.30687830687830686,0.19506172839506172
SVM(Linear),9,max,0.8,0.011816982991739767,0.42105616155210995,0.03225806451612903,0.0024449877750611247,0.004545454545454545,0.03827160493827161
LogReg,10,max,0.8,0.5146772077756725,0.5072221646373065,0.07692307692307693,0.004889975550122249,0.009195402298850575,0.03209876543209877
NaiveBayes,10,max,0.8,0.510674065148507,0.5231237310147614,0.5294117647058824,0.26405867970660146,0.3523654159869494,0.2518518518518518
SVM(Linear),10,max,0.8,0.04182334627017243,0.4357321854288484,0.0,0.0,0.0,0.03333333333333333
LogReg,11,max,0.8,0.5088151240107538,0.589022553640349,0.09375,0.007334963325183374,0.013605442176870748,0.03950617283950617
NaiveBayes,11,max,0.8,0.5385053371319386,0.5177276856757861,0.5696969696969697,0.22982885085574573,0.32752613240418116,0.2037037037037037
SVM(Linear),11,max,0.8,0.02407167358934153,0.5169899212848076,0.0,0.0,0.0,0.043209876543209874
LogReg,12,max,0.8,0.5092748885328795,0.5394155198800066,0.0,0.0,0.0,0.03333333333333333
NaiveBayes,12,max,0.8,0.5221461841746052,0.561036284594138,0.5566502463054187,0.2762836185819071,0.369281045751634,0.2506172839506173
SVM(Linear),12,max,0.8,0.021431809080717314,0.5431043418348993,0.029411764705882353,0.0024449877750611247,0.004514672686230248,0.04197530864197531
LogReg,13,max,0.8,0.5022584001371264,0.46588906706339284,0.0967741935483871,0.007334963325183374,0.013636363636363636,0.03827160493827161
NaiveBayes,13,max,0.8,0.504207720644287,0.544348176014731,0.5545454545454546,0.2982885085574572,0.38791732909379967,0.2716049382716049
SVM(Linear),13,max,0.8,0.01918049262340283,0.44233548158942493,0.02857142857142857,0.0024449877750611247,0.0045045045045045045,0.043209876543209874
LogReg,14,max,0.8,0.5040781866788874,0.5605363120316568,0.2,0.017114914425427872,0.03153153153153153,0.043209876543209874
NaiveBayes,14,max,0.8,0.5208619042319705,0.4842904962532544,0.45108695652173914,0.20293398533007334,0.2799325463743676,0.2271604938271605
SVM(Linear),14,max,0.8,0.017049675270452095,0.4881439433201836,0.037037037037037035,0.0024449877750611247,0.0045871559633027525,0.03333333333333333
LogReg,15,max,0.8,0.5068720113973628,0.5816875903151656,0.4074074074074074,0.05378973105134474,0.09503239740820735,0.06666666666666667
NaiveBayes,15,max,0.8,0.526921756212462,0.5323915150997811,0.5208333333333334,0.3056234718826406,0.3852080123266564,0.2962962962962963
SVM(Linear),15,max,0.8,0.025942851688315786,0.48525995524635845,0.07894736842105263,0.007334963325183374,0.013422818791946308,0.04691358024691358
LogReg,16,max,0.8,0.5029635030769543,0.5401410898182417,0.5443037974683544,0.10513447432762836,0.1762295081967213,0.09753086419753086
NaiveBayes,16,max,0.8,0.5219982639231482,0.5317513063307502,0.5953757225433526,0.25183374083129584,0.3539518900343643,0.21358024691358024
SVM(Linear),16,max,0.8,0.024700286400672688,0.43931125730905013,0.05714285714285714,0.004889975550122249,0.009009009009009009,0.043209876543209874
LogReg,17,max,0.8,0.5075874793804329,0.49159497344657915,0.041666666666666664,0.0024449877750611247,0.004618937644341801,0.02962962962962963
NaiveBayes,17,max,0.8,0.5153090883898307,0.482028425269345,0.5488721804511278,0.1784841075794621,0.2693726937269373,0.16419753086419753
SVM(Linear),17,max,0.8,0.03654906172375896,0.4214098006816699,0.0,0.0,0.0,0.040740740740740744
LogReg,18,max,0.8,0.5084345129624472,0.5325317513063308,0.5222222222222223,0.11491442542787286,0.18837675350701402,0.1111111111111111
NaiveBayes,18,max,0.8,0.538735467510794,0.4888512215793036,0.4978902953586498,0.2885085574572127,0.3653250773993808,0.29259259259259257
SVM(Linear),18,max,0.8,0.03057418702945186,0.4602979104805224,0.06060606060606061,0.004889975550122249,0.00904977375565611,0.040740740740740744
LogReg,19,max,0.8,0.5118853384673379,0.4878146930961106,0.058823529411764705,0.0024449877750611247,0.004694835680751174,0.020987654320987655
NaiveBayes,19,max,0.8,0.5401832757207272,0.5103988195769744,0.5346153846153846,0.33985330073349634,0.4155455904334828,0.32098765432098764
SVM(Linear),19,max,0.8,0.031482739251782264,0.4635843154948814,0.07142857142857142,0.004889975550122249,0.009153318077803204,0.0345679012345679
LogReg,20,max,0.8,0.5164887872982322,0.435079782207074,0.045454545454545456,0.0024449877750611247,0.004640371229698376,0.027160493827160494
NaiveBayes,20,max,0.8,0.5200356047274761,0.5053198300093288,0.5074626865671642,0.24938875305623473,0.3344262295081967,0.24814814814814815
SVM(Linear),20,max,0.8,0.04898615822672793,0.4269277905480797,0.03333333333333333,0.0024449877750611247,0.004555808656036446,0.037037037037037035
LogReg,21,max,0.8,0.5132033478992122,0.46018816040583144,0.3050847457627119,0.044009779951100246,0.07692307692307693,0.0728395061728395
NaiveBayes,21,max,0.8,0.5779620189274048,0.5326475986073934,0.5186721991701245,0.3056234718826406,0.38461538461538464,0.2975308641975309
SVM(Linear),21,max,0.8,0.03475815175739375,0.4542128785615424,0.1951219512195122,0.019559902200488997,0.035555555555555556,0.050617283950617285
LogReg,22,max,0.8,0.5129284903377679,0.4697608058094373,0.28,0.034229828850855744,0.06100217864923747,0.06172839506172839
NaiveBayes,22,max,0.8,0.5635471129247854,0.5449518014255315,0.5238095238095238,0.29584352078239606,0.378125,0.2851851851851852
SVM(Linear),22,max,0.8,0.03554656840628349,0.4267204848514411,0.11764705882352941,0.014669926650366748,0.02608695652173913,0.06296296296296296
LogReg,23,max,0.8,0.5073482263771532,0.5534330433085988,0.5061224489795918,0.30317848410757947,0.37920489296636084,0.30246913580246915
NaiveBayes,23,max,0.8,0.5637840247753169,0.5450005792365054,0.5205479452054794,0.2787286063569682,0.3630573248407643,0.27037037037037037
SVM(Linear),23,max,0.8,0.034626506325789425,0.39241139205775294,0.15789473684210525,0.014669926650366748,0.026845637583892617,0.04691358024691358
LogReg,24,max,0.8,0.5167120488927509,0.473053308050168,0.3246753246753247,0.061124694376528114,0.102880658436214,0.09506172839506173
NaiveBayes,24,max,0.8,0.5985721089883701,0.5664140382539982,0.5515873015873016,0.33985330073349634,0.4205748865355522,0.3111111111111111
SVM(Linear),24,max,0.8,0.03718413992610427,0.4643098854331165,0.2608695652173913,0.044009779951100246,0.07531380753138076,0.08518518518518518
LogReg,25,max,0.8,0.5147646513515169,0.45861507600192675,0.43859649122807015,0.18337408312958436,0.25862068965517243,0.2111111111111111
NaiveBayes,25,max,0.8,0.5998521670675224,0.4895828887439104,0.4878048780487805,0.24449877750611246,0.3257328990228013,0.25308641975308643
SVM(Linear),25,max,0.8,0.0601735785473625,0.3916248498558006,0.02564102564102564,0.0024449877750611247,0.004464285714285714,0.04814814814814815
LogReg,26,max,0.8,0.5128072297263879,0.4197391606558177,0.0,0.0,0.0,0.03580246913580247
NaiveBayes,26,max,0.8,0.5430644437078654,0.5171911297550744,0.5406698564593302,0.2762836185819071,0.3656957928802589,0.2580246913580247
SVM(Linear),26,max,0.8,0.05536233366723333,0.3759793669859581,0.04,0.0024449877750611247,0.004608294930875576,0.030864197530864196
LogReg,27,max,0.8,0.516688123846419,0.46840722155491465,0.3698630136986301,0.06601466992665037,0.11203319502074689,0.09012345679012346
NaiveBayes,27,max,0.8,0.5895693702163056,0.5038260095482565,0.48148148148148145,0.254278728606357,0.3328,0.26666666666666666
SVM(Linear),27,max,0.8,0.05114284950970464,0.45103622362187434,0.04,0.0024449877750611247,0.004608294930875576,0.030864197530864196
LogReg,28,max,0.8,0.5141233565641575,0.4368052972702718,0.4090909090909091,0.06601466992665037,0.11368421052631579,0.08148148148148149
NaiveBayes,28,max,0.8,0.6331477639927077,0.5227700918852015,0.5416666666666666,0.34963325183374083,0.424962852897474,0.32592592592592595
SVM(Linear),28,max,0.8,0.04392325291762032,0.3875519026394893,0.0,0.0,0.0,0.03827160493827161
LogReg,29,max,0.8,0.5081931893810415,0.40050241145303,0.08333333333333333,0.004889975550122249,0.009237875288683603,0.02962962962962963
NaiveBayes,29,max,0.8,0.5449563046628101,0.5430921473821558,0.5594059405940595,0.2762836185819071,0.3698854337152209,0.24938271604938272
SVM(Linear),29,max,0.8,0.04660388659761408,0.3887896395929492,0.0,0.0,0.0,0.03209876543209877
LogReg,30,max,0.8,0.5190156492530866,0.47555926808894633,0.0,0.0,0.0,0.03209876543209877
NaiveBayes,30,max,0.8,0.5477897894706452,0.5112646257217592,0.4819277108433735,0.19559902200489,0.2782608695652174,0.20493827160493827
SVM(Linear),30,max,0.8,0.054600134948776,0.43981732709790317,0.04,0.0024449877750611247,0.004608294930875576,0.030864197530864196
LogReg,31,max,0.8,0.5174806626662577,0.464541580035242,0.08695652173913043,0.004889975550122249,0.009259259259259259,0.028395061728395062
NaiveBayes,31,max,0.8,0.5872496633284667,0.5412385905651519,0.5257352941176471,0.34963325183374083,0.4199706314243759,0.3358024691358025
SVM(Linear),31,max,0.8,0.047025840094459356,0.46958398624465736,0.0,0.0,0.0,0.02345679012345679
LogReg,32,max,0.8,0.5147732883158586,0.48993652787347036,0.17142857142857143,0.014669926650366748,0.02702702702702703,0.043209876543209874
NaiveBayes,32,max,0.8,0.5870890012746985,0.5629386192221159,0.5708333333333333,0.33496332518337407,0.4221879815100154,0.2962962962962963
SVM(Linear),32,max,0.8,0.0488553281140363,0.42847648604649746,0.08,0.004889975550122249,0.009216589861751152,0.030864197530864196
LogReg,33,max,0.8,0.5230272975646273,0.5147644336591285,0.36538461538461536,0.04645476772616137,0.0824295010845987,0.06419753086419754
NaiveBayes,33,max,0.8,0.5824503282815323,0.508667207287405,0.4951923076923077,0.25183374083129584,0.3338735818476499,0.25679012345679014
SVM(Linear),33,max,0.8,0.06790043754160903,0.451133779243822,0.1111111111111111,0.009779951100244499,0.017977528089887642,0.044444444444444446
LogReg,34,max,0.8,0.5187750490060861,0.48415026004670475,0.07407407407407407,0.004889975550122249,0.009174311926605505,0.03333333333333333
NaiveBayes,34,max,0.8,0.5953625417850411,0.5067526782066838,0.4921875,0.3080684596577017,0.37894736842105264,0.3160493827160494
SVM(Linear),34,max,0.8,0.05732661963580702,0.44611576193989355,0.029411764705882353,0.0024449877750611247,0.004514672686230248,0.04197530864197531
LogReg,35,max,0.8,0.5116025898195959,0.5879616362516691,0.6923076923076923,0.17603911980440098,0.2807017543859649,0.12839506172839507
NaiveBayes,35,max,0.8,0.5742067999834617,0.5371595461224689,0.5341365461847389,0.3251833740831296,0.40425531914893614,0.3074074074074074
SVM(Linear),35,max,0.8,0.05786194908745083,0.4583955758525447,0.034482758620689655,0.0024449877750611247,0.0045662100456621,0.03580246913580247
LogReg,36,max,0.8,0.5230268996300164,0.4856196916022901,0.13513513513513514,0.012224938875305624,0.02242152466367713,0.04567901234567901
NaiveBayes,36,max,0.8,0.5845588539305648,0.5125999182971666,0.5263157894736842,0.3422982885085575,0.4148148148148148,0.32839506172839505
SVM(Linear),36,max,0.8,0.05735930055061508,0.4720655573779487,0.06666666666666667,0.004889975550122249,0.009111617312072893,0.037037037037037035
LogReg,37,max,0.8,0.5275524500362004,0.4880829710564665,0.2962962962962963,0.019559902200488997,0.03669724770642202,0.03333333333333333
NaiveBayes,37,max,0.8,0.6214859733099475,0.4655232334810895,0.4397163120567376,0.30317848410757947,0.3589001447178003,0.34814814814814815
SVM(Linear),37,max,0.8,0.07556666681976155,0.45306660000365834,0.06896551724137931,0.004889975550122249,0.0091324200913242,0.03580246913580247
LogReg,38,max,0.8,0.5241932411080255,0.45701760269253516,0.030303030303030304,0.0024449877750611247,0.004524886877828055,0.040740740740740744
NaiveBayes,38,max,0.8,0.5993403459477827,0.5271296087409838,0.5022222222222222,0.2762836185819071,0.35646687697160884,0.2777777777777778
SVM(Linear),38,max,0.8,0.06372004349147783,0.4507252650769165,0.0,0.0,0.0,0.04197530864197531
LogReg,39,max,0.8,0.5177294603475757,0.455853032455536,0.13333333333333333,0.009779951100244499,0.018223234624145785,0.037037037037037035
NaiveBayes,39,max,0.8,0.5932092979973207,0.5022468279179801,0.5192307692307693,0.33007334963325186,0.40358744394618834,0.32098765432098764
SVM(Linear),39,max,0.8,0.058144418039412366,0.4241169691907151,0.0,0.0,0.0,0.03333333333333333
LogReg,40,max,0.8,0.5240185207277832,0.4805589937137596,0.043478260869565216,0.0024449877750611247,0.004629629629629629,0.028395061728395062
NaiveBayes,40,max,0.8,0.580365511577967,0.5144961556987726,0.4703196347031963,0.25183374083129584,0.32802547770700635,0.27037037037037037
SVM(Linear),40,max,0.8,0.06112026274239046,0.48235157826704633,0.034482758620689655,0.0024449877750611247,0.0045662100456621,0.03580246913580247
LogReg,41,max,0.8,0.5146764675685279,0.5106914864428171,0.2,0.022004889975550123,0.039647577092511016,0.05555555555555555
NaiveBayes,41,max,0.8,0.5288211819892095,0.4980641306269778,0.475177304964539,0.16381418092909536,0.24363636363636362,0.17407407407407408
SVM(Linear),41,max,0.8,0.05478734014262999,0.4625233981062015,0.029411764705882353,0.0024449877750611247,0.004514672686230248,0.04197530864197531
LogReg,42,max,0.8,0.51787171281797,0.46732801248711964,0.10256410256410256,0.009779951100244499,0.017857142857142856,0.04814814814814815
NaiveBayes,42,max,0.8,0.6520415606508652,0.51636190696852,0.5266903914590747,0.36185819070904646,0.4289855072463768,0.3469135802469136
SVM(Linear),42,max,0.8,0.05068967788892224,0.4534873086233072,0.02857142857142857,0.0024449877750611247,0.0045045045045045045,0.043209876543209874
LogReg,43,max,0.8,0.5233660571214145,0.43165923821253716,0.2222222222222222,0.014669926650366748,0.027522935779816515,0.03333333333333333
NaiveBayes,43,max,0.8,0.6186021340083886,0.5625666884134407,0.5615942028985508,0.37897310513447435,0.45255474452554745,0.34074074074074073
SVM(Linear),43,max,0.8,0.06665239858234419,0.3996000219500149,0.09375,0.007334963325183374,0.013605442176870748,0.03950617283950617
LogReg,44,max,0.8,0.5195632156594879,0.41985500795688036,0.1956521739130435,0.022004889975550123,0.03956043956043956,0.056790123456790124
NaiveBayes,44,max,0.8,0.599884390526336,0.5197702565103134,0.4875,0.2860635696821516,0.3605546995377504,0.2962962962962963
SVM(Linear),44,max,0.8,0.05606527979726932,0.4007523977342707,0.11627906976744186,0.012224938875305624,0.022123893805309734,0.05308641975308642
LogReg,45,max,0.8,0.5160279117085609,0.4537677810364065,0.29411764705882354,0.03667481662591687,0.06521739130434782,0.06296296296296296
NaiveBayes,45,max,0.8,0.5995545703474271,0.5391045613350487,0.5271317829457365,0.33251833740831294,0.4077961019490255,0.31851851851851853
SVM(Linear),45,max,0.8,0.0612727078599153,0.41985500795688047,0.045454545454545456,0.0024449877750611247,0.004640371229698376,0.027160493827160494
LogReg,46,max,0.8,0.5231375262407923,0.4602003548585748,0.0,0.0,0.0,0.03333333333333333
NaiveBayes,46,max,0.8,0.6276016099102286,0.540732520776299,0.55,0.34963325183374083,0.42750373692077726,0.32098765432098764
SVM(Linear),46,max,0.8,0.06515308805297888,0.42974470913181595,0.07692307692307693,0.004889975550122249,0.009195402298850575,0.03209876543209877
LogReg,47,max,0.8,0.5163722459895091,0.4596637989378632,0.3,0.05867970660146699,0.09815950920245399,0.09876543209876543
NaiveBayes,47,max,0.8,0.6455840185913722,0.5583778938960667,0.5444015444015444,0.34474327628361856,0.4221556886227545,0.3197530864197531
SVM(Linear),47,max,0.8,0.05625714235979811,0.43683578340213036,0.03225806451612903,0.0024449877750611247,0.004545454545454545,0.03827160493827161
LogReg,48,max,0.8,0.5227053196681801,0.48101628569163896,0.11363636363636363,0.012224938875305624,0.02207505518763797,0.05432098765432099
NaiveBayes,48,max,0.8,0.6485038821049026,0.5401106036863831,0.5277777777777778,0.3251833740831296,0.40242057488653554,0.3111111111111111
SVM(Linear),48,max,0.8,0.06306647624012898,0.4583163119097123,0.10810810810810811,0.009779951100244499,0.017937219730941704,0.04567901234567901
LogReg,49,max,0.8,0.5225260756400589,0.45955404886317214,0.2631578947368421,0.03667481662591687,0.06437768240343347,0.07037037037037037
NaiveBayes,49,max,0.8,0.6600640967405595,0.5287392765031187,0.5321428571428571,0.3643031784841076,0.432510885341074,0.345679012345679
SVM(Linear),49,max,0.8,0.05824513390843107,0.43643336646159664,0.06666666666666667,0.004889975550122249,0.009111617312072893,0.037037037037037035
LogReg,50,max,0.8,0.5252192325404013,0.4030571493027822,0.16129032258064516,0.012224938875305624,0.022727272727272728,0.03827160493827161
NaiveBayes,50,max,0.8,0.6569363232799335,0.47946149296684937,0.45614035087719296,0.254278728606357,0.32653061224489793,0.2814814814814815
SVM(Linear),50,max,0.8,0.08450982424026048,0.3968318811772525,0.0,0.0,0.0,0.03580246913580247
LogReg,51,max,0.8,0.5245036565025825,0.4174953813510234,0.0,0.0,0.0,0.028395061728395062
NaiveBayes,51,max,0.8,0.6561635620343189,0.48251620337908285,0.5022222222222222,0.2762836185819071,0.35646687697160884,0.2777777777777778
SVM(Linear),51,max,0.8,0.07192946826362648,0.408264180624234,0.04,0.0024449877750611247,0.004608294930875576,0.030864197530864196
LogReg,52,max,0.8,0.528761330092442,0.4522007938588736,0.09523809523809523,0.004889975550122249,0.009302325581395349,0.025925925925925925
NaiveBayes,52,max,0.8,0.6152117728208057,0.5095025273003311,0.5,0.2469437652811736,0.33060556464811786,0.24938271604938272
SVM(Linear),52,max,0.8,0.07636253280438239,0.42804358297410505,0.038461538461538464,0.0024449877750611247,0.004597701149425287,0.03209876543209877
